"N1","N2","N3","N4","N5","N6","N7","N8","N9","N10","N11","N12","N13","N14","N15","N16","N17","N18","N19","N20","N21","N22","N23","N24","N25","N26","N27","N28","N29","N30","N31","N32","N33","N34","N35","N36","N37","N38","N39","N40","N41","N42","N43","N44","N45","N46","N47","N48","N49","N50","N51","N52","N53","N54","N55","N56"
4.06966110185879,21.3143713571051,-51.4353137019064,41.9431522290894,41.5832944153284,18.8268443244075,18.4539680584833,-101.659343815215,5.59184839292651,26.8786881791224,47.5099616264895,62.7416977079983,-158.554366040722,-124.444537869287,-67.2174917742316,116.857329792509,36.5684661430445,25.3801997128996,25.7667681476809,21.8919203464313,68.672976965607,126.236973647581,48.1163842613198,41.4509046684696,11.9723363363529,-37.4873577141367,14.0277354350149,-48.171679982809,-52.8950653937248,-56.0864811851269,-90.1939122744817,3.15753700512165,11.4917812885087,-72.997959563792,77.3694544053031,-50.7657828267845,15.0987803623031,-6.8271466578411,-16.1534847591865,-1.66210391319591,31.3919695522349,-27.1547849144103,33.8525740889174,-26.764404772768,4.52929269907837,-15.2597256541122,-3.94623135466242,10.3703173350137,-145.455017324473,-35.9619779666107,11.3926773379774,-33.13984762521,-5.57728606918849,3.68896736970027,6.12918382041346,-0.824771707879817
2.56150202728833,20.8008642282877,28.973347757672,32.4786958565022,34.9760565688086,15.0616907629549,13.828123648016,37.7993409471487,5.41953688505022,19.953954636101,45.248951180732,26.3056848988004,-12.0957574698876,23.7670052709738,-59.6222606356695,96.8315215570469,34.1264947045437,15.5023795412533,20.4486711299813,15.8905888140022,40.8109841301127,-54.8976359678099,17.0599040766171,6.83531414876086,11.3125099285681,20.9859843119705,9.13355555889507,-28.2175306909988,40.7972451265634,21.161310404551,20.2119480314614,-2.99055939016238,10.5576585443019,-54.1457134617337,26.3927469846425,20.7110784939277,-13.4523449020022,-2.62999616665592,-2.84637302797209,-1.26870711727824,17.9862894683748,-26.6671664869495,-29.9501089317788,9.43834770571048,-4.5030047379936,3.98758124151343,-3.61887266735097,-1.20795541728736,10.576719171391,-8.83430773597249,-7.47861595560929,15.942731054067,-3.64247192215132,-1.09410592823169,-3.21215941631384,0.571676142176342
2.55575434629938,19.5713880166108,17.5412949874039,20.3801174821402,16.3374543100027,10.8953246157506,11.1040310467247,25.6302065359297,4.98000976413359,18.5566942224079,37.5664837694987,17.2790768705326,11.1774922789451,-10.2958005203745,21.1173105729719,24.6906203218829,26.4308920848838,14.6967004897271,18.7749129762903,14.0233180783942,17.6373477302855,20.2546288999519,16.8083076002465,-1.7490253204793,9.81022509293775,18.5145602332109,-7.59604424639401,26.6006457424566,-11.2562376331389,12.2451964822135,-11.5811380711798,2.41559616632971,8.47914569475253,9.65249041926716,24.2367040934573,16.839146549061,11.4266636639074,2.17228425309258,1.79961286313029,-1.17209434981606,17.922339679558,5.5443983686047,11.0650912375179,8.3350696681971,-1.94729756842115,-2.47895024834728,-2.9104691658012,-0.974518361726313,10.2670060378546,5.77428636995296,5.7164350313765,-13.9846460366334,-3.41573453758378,0.674693717773108,3.01248445210063,-0.543328001592158
2.05870995008275,17.4428821024598,12.8861152055534,13.4992976209854,-13.8099180017962,-9.2458948772924,8.36184447679829,22.7824178880823,4.160859844311,18.4265393787424,-36.0216934751795,17.0278649486573,-9.24104631069475,-7.04583697679941,18.004478628251,22.6763648388202,18.2133964855102,13.6747390532599,8.25271831077362,12.6427318686455,16.657272447931,-14.2816981799976,14.8365917444543,-1.36092166496741,6.19526882477072,17.4470558378073,6.59791647735889,19.4660425377325,-8.50223666900585,-10.0010123615025,-11.1296143067759,1.99871488284649,6.03142378889369,-6.05763087367903,17.8190643061473,12.2719904712607,-9.44901624244516,1.84387655868525,1.77722659694174,-0.927794759596168,14.8406223380799,3.65660467580787,8.36270207007536,-5.68329595665106,1.93009174136131,2.44989852360991,-2.86613555573201,0.779432733659137,8.37985847088039,4.88395304651777,2.21690395534244,-11.5226988480449,-2.63522716327341,-0.654249903895415,-1.00433998032276,0.504506871473364
-1.59211994989343,13.2908343148543,7.00475939344624,7.43969895771914,12.0239590793513,7.8043200086939,7.45785079418365,22.0407468667841,3.64585252536752,18.3287121115528,30.3760766701302,13.577731046554,-6.89886696706432,5.02833159820526,13.8596042160911,-3.51826953934112,16.6542268663698,2.52734399929533,6.5927628728011,10.5480240801626,-9.73980347061109,10.1862110056054,13.4947506062225,-1.02056525077277,5.69015947822306,15.9678306349983,-6.15622574782442,14.3004972214433,-7.75367446700618,-6.39347880757077,-8.0864098827935,1.48957506069453,5.67638095529708,4.70198266341706,-12.3456437327149,-9.4740390693224,-7.4622979354396,1.67593335564117,-1.71533280543896,-0.911584061064921,13.0285353768409,-3.53749371852461,4.16271011672928,-3.23446191798961,-1.57438906151477,-2.32653769624981,-2.8598180025164,0.63280685269137,7.60819057469123,1.98890378152807,-2.10770989334783,-9.96275378839599,1.44643053549522,0.621243765340284,6.12918382041346,-0.476979835296716
-1.54650186691096,11.1542326802873,6.38439072401394,7.0215845386965,10.7338912587204,5.77360147207207,-4.28586457183683,12.0667337337259,2.59808856468324,17.4017905547181,21.6244262290516,8.55735907394464,-5.91124863645604,-4.32013410110345,13.5062561493411,-3.23786906585922,-6.45552674163331,25.3801997128996,5.37360972056001,-8.42371831331163,5.15310262170736,-9.65947996999686,-3.89479701149274,-0.99706165360926,5.19739029643585,12.2549251159069,5.71622011032906,-13.4293472338075,-6.03491534542321,-5.90837680461511,3.87489952121331,-0.723730623744708,4.91291771979476,-4.28115686962973,11.1890637901159,-9.12299237799811,7.31355115632384,-1.59515302337709,-1.66468565069058,0.42167366387622,7.13440339540356,-3.42748265727643,3.93652304849148,-3.0060917187872,1.26854791231426,-1.86097829245486,-2.7059805607286,0.615558664769486,4.64082535218092,1.77062900905242,-1.55041047866139,7.97349242862249,1.31856993549144,-0.613691651186818,-3.21215941631384,0.459285940592441
-1.44213588432457,7.65160873986201,-3.57719543992882,3.81451932708706,8.50963303630179,3.57173451880402,-4.05310577768684,10.7355807318624,2.54352975202185,16.8978795809311,16.2952240491459,6.24966894731284,5.62773487961964,-3.70292902291572,3.65042232678537,-2.90651087176008,-4.98478436298769,15.5023795412533,2.42513790929199,5.0983992850898,4.95492822687119,4.54104940602323,-3.27562537483883,-0.884150906306914,-4.13918817107793,9.32220498677942,5.30885567092955,-6.55400346395258,5.71531540302488,-4.62551888389579,-3.51704948803491,-0.65600777332612,4.66680265272948,-3.79818657838716,8.06639133471557,-4.86073486121187,5.88793610332614,-1.47539301602432,-1.59377702991663,-0.379054076474979,4.46979489590401,3.05184508354169,3.67034803764764,2.84344994613084,-1.25243203588973,1.81376416755237,-2.52181721748597,0.53085509036982,3.56310847399205,-35.9619779666107,1.11226984206957,7.23658837586374,-1.04157095447942,-0.593616044608134,3.01248445210063,0.452535490622401
1.37360468012271,-4.66346354871024,2.7233243268639,3.3616955165424,-6.77568309945254,3.42920118352184,3.87391954172103,4.58282026252678,-1.09194178180445,16.3242278288957,5.37065215261435,-5.96823221002595,5.28721308974359,-3.46024683222354,-67.2174917742316,-2.80673923868242,2.06204850238443,14.6967004897271,-2.26950962742043,4.22479631849731,3.71728130487356,-3.72353891929723,-1.91532214092652,0.742523039264464,3.46401901092125,8.83594868804369,5.18975809782934,-4.78297995277801,-4.73272450363276,-4.50111576630393,-3.10686825928205,-0.533738203145255,4.38135497782996,3.67622829108533,-3.7132738365134,4.50879922553854,-4.59960525362006,-1.17333331036265,1.39251672306774,-0.326295745329271,-2.8290545844189,2.3428041870573,2.26843614830595,2.61765655599939,-1.03456093790708,1.71933609677059,-2.2150393864141,0.451365793434646,-2.97318373027482,-8.83430773597249,1.05595271196275,4.48074330753777,1.03229969097791,0.502324640812452,-1.00433998032276,-0.444315764388617
-1.19191167103508,3.00301450238572,-2.69374362859069,3.01573556910263,-5.58051525274479,-2.10388124893077,-3.26749195472791,1.56953728017944,5.59184839292651,11.0608864676952,-3.92886242955786,5.58361604970716,4.25249673924757,-2.96518231481437,-59.6222606356695,-2.52842309046189,1.90468522181008,13.6747390532599,-2.25188704961594,-3.99672915131989,3.64373083020883,-2.93089734145281,48.1163842613198,-0.716924873873852,-2.96163627362752,-3.5006789769572,4.44928202758532,-4.21544307248187,4.70545587230179,4.44295847088167,2.80598850998876,0.460998765992833,3.76805455094863,3.54375942362777,-3.63232692420413,-3.944090286284,-4.21233401721034,-0.943728550366839,-1.30958693154671,0.302207690400774,2.39758874518765,-2.30370544965314,2.21425032176538,2.42511316647347,-0.97728455412497,1.54423605626049,-2.20239640199938,-0.408468913420221,2.44711651683313,5.77428636995296,-1.04285406557882,4.42623129275424,0.931145157478023,-0.447525927829849,6.12918382041346,-0.426613075513487
0.939372773953372,2.19001953528974,-2.60022435642558,-2.91772163776606,-3.78784284893249,-2.00239832836915,2.82880868732991,1.05971721496233,5.41953688505022,-10.7063010208359,-3.92258994150562,-5.20820908124899,3.84312005692378,2.84100373295417,21.1173105729719,2.52521899139281,1.72928235375815,2.52734399929533,1.88434961842665,3.31962035659691,2.73517551474795,-2.58333324122362,17.0599040766171,0.710956600158011,-2.92510569699743,-3.49467841803466,4.0952895216501,-4.11508318306785,-4.54922064863531,3.92107973873729,2.65946797283564,-0.404831255054561,2.68718559011846,-3.51429936977775,-3.05284911600483,-3.77861678872067,-3.69930103855385,0.932184730944072,-1.28420947214803,0.298468750085947,-2.23721354527651,2.2100644995033,-1.36243644804106,-2.07109935807694,0.864893790954423,-1.48406414457871,-1.97777343747801,0.365242930337894,2.11639044281062,4.88395304651777,0.894499030206202,3.70828214510075,-0.834517246196297,0.428446260455864,-3.21215941631384,0.40018348672414
0.898930784242298,1.83638972032045,-2.58431579110622,2.86677324098071,3.43411485553843,1.88934507465824,1.69564315168158,-101.659343815215,4.98000976413359,-8.61688677697398,-3.37782734344631,-4.87709373116268,-3.73164366535599,-2.58519095202064,18.004478628251,2.24411218155708,1.70026370504994,25.3801997128996,1.80459420413465,2.41997232597938,-2.6429099796867,-2.433263874,16.8083076002465,0.706759982016601,-2.64857282914524,3.3650579793656,2.35660240287133,-4.03931533118244,-4.50459047841509,-3.70411647226928,2.38525613800659,-0.364933779235366,-2.20740786501581,-3.28297077877235,-2.43420761451062,-3.16321321092639,-3.62681875926896,-0.849541950402253,1.28160087084966,-0.288631585041774,2.19873743694496,-1.76292318742015,1.16600734887821,-2.02218996785174,0.692556066750092,1.46490095065832,-0.681394001586498,-0.361373297898617,1.7747707788075,1.98890378152807,0.727095710601541,-2.51770025071121,-0.804136492000902,-0.425196615401532,3.01248445210063,-0.398190187761981
0.73814299620684,1.67522961992348,2.02879454350952,2.70572583190283,3.28721978916893,1.84192541193602,-1.46588979067841,37.7993409471487,4.160859844311,-8.20073623273661,2.89774873286769,4.81294007439891,3.54216695351878,2.37185894759479,13.8596042160911,-2.18425314932868,-1.52752582954329,15.5023795412533,1.71365934308518,-2.25470405941945,-1.41343653048779,-2.15143455612446,14.8365917444543,0.597065689834169,-2.64095507732411,2.75396305137904,-1.62177989350061,3.68544643068214,4.23206005484735,-3.61267867808462,2.3049160379446,0.323699343030717,1.88248739115968,-3.26830329798287,77.3694544053031,2.69214339119948,-3.40019768533544,-0.803840108210916,1.23480753480497,-0.278003214927118,-1.94348243716796,1.38046465809862,-1.00412345730444,-1.88783218955729,-0.607787960213302,1.43462603683681,-3.94623135466242,-0.361153461104809,-1.63874321299939,1.77062900905242,0.541057602132767,2.50959217172561,0.749155622322873,-0.406305399401816,-1.00433998032276,-0.397240259692798
-0.69147869168486,-1.60288817057203,1.94346317125813,2.66392777097546,-3.28219320634248,1.50089677366305,1.42687134756306,25.6302065359297,3.64585252536752,-5.6900998890369,-2.82375946188579,4.72329702834049,3.43530064626104,-2.1071045135369,13.5062561493411,2.16303159928236,1.46110266131803,14.6967004897271,1.55773245048103,2.16818432845863,1.21390832045664,-2.11189506098625,13.4947506062225,-0.585171546021957,-2.63553378193992,1.34622293912708,-1.37500108987344,-2.89382856375416,-4.2033319430106,-2.79488557460649,-2.21423135205831,0.323081108759199,1.60469927403928,-2.68656617610381,26.3927469846425,-2.53014640702616,-2.98878582435268,0.782605698341594,1.20596179893955,0.253318080800439,1.91229917815034,1.30608926293443,-0.968673639483945,1.75364448857639,-0.560486592049626,1.30794521659393,-3.61887266735097,0.358602182075195,1.0667960108038,-35.9619779666107,-0.49605302485939,2.07561899755317,0.639905374545905,0.392854991418589,6.12918382041346,0.33483786778053
-0.560340706998083,1.58260053507664,-1.91062370881045,-2.5240540314952,2.88910472072238,-1.43401723143066,-1.42552643165521,22.7824178880823,2.59808856468324,4.04813175597412,2.6643125778862,-4.63836740895054,-3.29967209874116,-2.00504191939826,3.65042232678537,-2.04881643133895,-1.46104513963882,13.6747390532599,1.50901839811277,1.67551244182474,68.672976965607,-1.9048958005909,-3.89479701149274,0.549951722546683,2.1330029087866,-37.4873577141367,1.37409569567604,-2.81997012413827,4.18714721479678,2.6944304072551,2.1752782636158,-0.312927244946103,-1.39949879323313,-2.55070998940888,24.2367040934573,-2.33865370129358,-2.04502541219625,0.740319034354871,1.14643612263206,0.211060674346171,1.69709785844628,1.20110018511342,-0.950887112120035,1.68929248285545,-0.552606197701787,1.23457662441374,-2.9104691658012,0.347201528120419,-0.958256569867418,-8.83430773597249,0.441787000306915,-1.63990960167282,0.606038091466555,0.392218339027335,-3.21215941631384,0.277461459559454
0.502165244479039,1.55367084493558,1.83679780241583,-1.58993749263093,-2.87295084782591,1.31467709470232,-1.00712030097182,22.0407468667841,2.54352975202185,3.08392617788129,2.63530530023508,-4.00895874087662,3.26358023130542,-1.82934410916812,-67.2174917742316,-2.03943719409564,-1.37705337474627,2.52734399929533,1.502815102142,1.66669579982061,40.8109841301127,-1.732902325808,-3.27562537483883,-0.545049168363789,-1.91819374607824,20.9859843119705,-1.28199762436404,-2.17874830725619,-3.86371196613696,-2.6916293539723,-2.11984828929524,0.281535244488948,1.2999181993988,-2.36656340576176,17.8190643061473,-1.89402264441845,2.03515472356661,-0.714566751844521,1.06902585177409,0.200086781501999,1.58693409745719,-1.03721366099383,-0.872136276895695,-1.65241486244008,0.494419830294141,-1.23379078596203,-2.86613555573201,0.289249802299702,0.917371080537049,5.77428636995296,-0.42909020712248,1.466714807376,-0.551090293041033,-0.368332084160312,3.01248445210063,0.268888497573934
0.420418857784462,1.5134821360864,1.58795913795816,1.57172476777015,2.56785821162546,-1.30757397631527,-0.990338759788323,12.0667337337259,-1.09194178180445,3.07368260926697,-2.22626318774744,-3.62564952385406,3.24433569870637,1.77027183630776,-59.6222606356695,-2.03862621013117,1.28521738216704,25.3801997128996,1.47945633826531,1.42889736517727,17.6373477302855,1.61862028719873,-1.91532214092652,-0.530888987462538,1.91333180182496,18.5145602332109,1.01909623930181,2.17332377340565,3.51262916603459,-2.38862846081923,1.95682508628814,0.261035565674679,1.29414409617261,-2.069599802935,-12.3456437327149,-1.88502835607408,-1.63705072400545,0.696858514282389,-0.93057101421541,0.180935790637242,1.33569585145769,-1.01919900217749,-0.761134349856254,1.38762590371404,-0.457432776995102,-1.09636404758615,-2.8598180025164,0.28118881786043,-0.915204164635666,4.88395304651777,0.397896075207088,-1.46223728046129,-0.533935246239353,0.341096861264708,-1.00433998032276,0.267499738348327
0.415101666299576,1.48346408093586,-1.21339606926488,1.4911477596999,-2.32351786657055,-1.26738265131156,-0.985248152469083,10.7355807318624,5.59184839292651,-2.5920956537321,-2.12912185002156,-3.13368061299022,3.18616603696055,-1.61167614216189,21.1173105729719,1.95754729491326,1.19299190092915,15.5023795412533,1.23086969762584,1.33609475399838,16.657272447931,1.57527920666605,48.1163842613198,-0.522355353394549,-1.79745591971281,17.4470558378073,-0.801624385183966,-2.12439717586176,-3.42604889454091,2.29822555588085,-1.85062479987269,0.252137791363489,1.27881604898871,-1.78760279295517,11.1890637901159,1.83565235808016,1.53127352756427,-0.677481292662153,0.818222444573713,0.176838022642775,-1.08351228240076,-0.802459452186331,-0.665380069509488,1.37871509364171,0.409750824343054,-1.0589704576216,-2.7059805607286,-0.252601249281574,-0.896956417521278,1.98890378152807,-0.394675862398734,1.12165875943568,0.520961380715692,-0.335680615195297,6.12918382041346,0.257444225293613
-0.392572595288024,1.3756272386941,-1.12214269319695,-1.47376270354927,1.5131684626987,-1.16491540626394,0.962944104436368,4.58282026252678,5.41953688505022,2.15954724800405,-2.00272312507582,-3.03781905720519,3.09403328319033,-1.569546792672,18.004478628251,1.78458446151487,-1.10831166375901,14.6967004897271,1.19982377246706,1.05981427314369,-9.73980347061109,-1.56830755930572,17.0599040766171,0.517033792229537,-1.73369490131145,15.9678306349983,0.76993536852865,2.12365275926681,-2.93458471588816,2.1226244673439,1.85009989431978,0.227562895781432,-1.19919345553059,1.68385982847997,8.06639133471557,-1.82955231941091,1.51626621141929,0.624248064505778,0.803816445034876,-0.172504418900093,-1.05608493177341,0.741252444504788,-0.660766337719262,-1.32699497168741,0.343971071104108,-0.810236211001697,-2.52181721748597,-0.248885357425113,-0.869630685026168,1.77062900905242,-0.288060187537829,-1.06564534335034,0.483255978824437,-0.329782856932335,-3.21215941631384,0.255878120283805
0.360130146519732,-1.35855676069523,1.06622434895833,-1.39741369467367,-1.36344648092153,-1.01664921537921,0.876316656931527,1.56953728017944,4.98000976413359,-1.82756068021918,-1.99051844466156,2.73660740703952,2.71018235181126,-1.55631809150711,13.8596042160911,-1.59136917780167,-0.954069384529184,13.6747390532599,1.17044487314268,-0.996454010925123,5.15310262170736,-1.41631272215622,16.8083076002465,-0.428253246291902,-1.64377267871546,12.2549251159069,0.683315125650328,1.98175691686577,-2.83958234949352,1.78961523068769,-1.68413786430467,0.206824659250112,-1.02827623199406,1.53022310134313,-3.7132738365134,-1.8046358825339,1.11843231968733,0.61817071706018,0.670662781552908,-0.157273845611283,-0.976373463041568,-0.724225380473228,0.639438393519077,1.16459028676253,-0.32406128119942,-0.787758296678202,-2.2150393864141,-0.236286509679067,0.749632537473662,-35.9619779666107,0.280426874996077,1.03720490414039,-0.468798665451665,0.310848014781738,3.01248445210063,0.242412222774306
0.335810577290387,1.26160253160603,-1.04738937211519,1.33151418094598,-1.06392001068398,0.808080016552888,-0.773335484623308,1.05971721496233,4.160859844311,1.44464567583179,1.71040274726733,2.65747075811728,-2.23919672913548,-1.16867221414985,13.5062561493411,1.51338974470147,0.8602533467168,2.52734399929533,-0.936349187224143,-0.818043890333475,4.95492822687119,1.18810335992475,14.8365917444543,0.40888096550021,-1.1177798202639,9.32220498677942,0.680628548330273,-1.96974207490804,-2.75169354852352,-1.60740268366238,1.37003476177031,0.173218744583199,0.966032520145335,-1.06145485479441,-3.63232692420413,1.79803419185435,1.08415239833153,0.520186486316065,-0.624642927986959,0.0951910883252304,0.91273111575447,-0.676471928401941,-0.628157053638102,-0.94477900157774,0.299961073455102,0.729996015518497,-2.20239640199938,0.222636536170605,0.625346655881354,-8.83430773597249,0.215308260182726,0.986113706832894,0.351417054793958,-0.31054214352116,-1.00433998032276,0.222627582641027
