,N1_Ori_20,N1_Fit_20,N13_Ori_20,N13_Fit_20,N24_Fit_20,N25_Ori_20,N25_Fit_20,N1_Ori_100,N1_Fit_100,N13_Ori_100,N13_Fit_100,N25_Ori_100,N25_Fit_100
1,3.15955E18,3.1354E18,3.86475E18,3.91685E18,3.82528E18,3.85175E18,3.84844E18,26222700000000,26193900000000,29318500000000,28929200000000,23562900000000,23526300000000
2,3.13561E18,3.12608E18,3.96609E18,3.99443E18,3.8362E18,3.70566E18,3.70999E18,25797100000000,26177200000000,28206600000000,28598300000000,23774100000000,24139100000000
3,3.10554E18,3.10674E18,3.88761E18,3.91392E18,3.81501E18,3.7153E18,3.72798E18,24092500000000,23982700000000,28345100000000,28222000000000,25070800000000,25282100000000
4,3.0488E18,3.0424E18,3.98688E18,3.98753E18,3.82193E18,3.77E18,3.75013E18,26619700000000,26449000000000,30295200000000,30171400000000,24690300000000,24641600000000
5,3.24114E18,3.29009E18,3.94717E18,3.89483E18,3.86115E18,3.70883E18,3.69115E18,25490800000000,25806000000000,29938500000000,29838500000000,23957900000000,24536400000000
6,3.20015E18,3.22952E18,3.74883E18,3.76115E18,3.7054E18,3.72937E18,3.65234E18,26290300000000,26126400000000,28361100000000,28268000000000,24262500000000,24660700000000
7,3.25528E18,3.24722E18,3.94707E18,3.93868E18,3.79196E18,3.72227E18,3.68001E18,24954900000000,25004700000000,27758500000000,27922700000000,24550100000000,24530800000000
8,3.00291E18,3.0258E18,4.08269E18,4.09407E18,3.88927E18,3.65766E18,3.71663E18,25641500000000,25584300000000,28627400000000,28509100000000,24645700000000,24963700000000
9,3.30022E18,3.29295E18,4.02605E18,4.02197E18,3.77833E18,3.74561E18,3.70557E18,25388600000000,25506100000000,28467800000000,28528800000000,25131500000000,25055600000000
10,3.1814E18,3.18898E18,3.91678E18,3.91056E18,3.78867E18,3.7286E18,3.69463E18,26218200000000,26149700000000,28807800000000,28879600000000,23051800000000,23238600000000
11,3.10795E18,3.11891E18,3.99406E18,3.97926E18,3.78282E18,3.69213E18,3.68672E18,25242600000000,25290000000000,29449900000000,29600400000000,23609000000000,23524400000000
12,2.99806E18,3.0072E18,3.94241E18,3.95271E18,3.84892E18,3.77689E18,3.72967E18,25687000000000,25850400000000,28457500000000,28615700000000,24475900000000,24063200000000
13,3.37496E18,3.34979E18,3.9814E18,3.98946E18,3.83011E18,3.71675E18,3.68924E18,25298400000000,25035500000000,30328400000000,30194800000000,24914200000000,25213000000000
14,3.17838E18,3.19306E18,4.02E18,4.00446E18,3.77866E18,3.70242E18,3.70422E18,27016800000000,26905800000000,29564200000000,29446200000000,23920800000000,23629800000000
15,3.05154E18,3.07971E18,4.0037E18,3.97435E18,3.79406E18,3.69898E18,3.71755E18,25979500000000,25910400000000,29467500000000,29416400000000,23930400000000,24475000000000
16,3.10649E18,3.09682E18,3.9756E18,3.96067E18,3.79753E18,3.73151E18,3.70084E18,25878000000000,26038900000000,28630500000000,28510100000000,24242300000000,24144600000000
17,3.31188E18,3.30951E18,3.94E18,3.9345E18,3.72171E18,3.81334E18,3.74184E18,26007800000000,25574500000000,29850500000000,29744300000000,24938500000000,25588300000000
18,3.1184E18,3.13131E18,3.96081E18,3.94734E18,3.80848E18,3.70729E18,3.72532E18,25397100000000,25510400000000,29370700000000,29280000000000,23760500000000,23986100000000
19,3.12119E18,3.08034E18,4.01122E18,4.01639E18,3.8581E18,3.70312E18,3.72208E18,25207500000000,25371500000000,29360200000000,29447200000000,25519100000000,25641200000000
20,3.16139E18,3.18755E18,3.96716E18,3.9638E18,3.78909E18,3.75207E18,3.7393E18,26773500000000,26706100000000,29505400000000,29649600000000,25027300000000,24816800000000
21,3.23604E18,3.2643E18,3.99467E18,3.98929E18,3.81557E18,3.72119E18,3.73971E18,25150700000000,25243900000000,29013500000000,29134600000000,25675100000000,25071100000000
22,3.16119E18,3.18361E18,3.84011E18,3.83477E18,3.7292E18,3.7804E18,3.76948E18,25850700000000,25512000000000,29248500000000,29162700000000,24357300000000,24530800000000
23,3.26221E18,3.23969E18,3.89726E18,3.9195E18,3.80415E18,3.7282E18,3.74553E18,24812000000000,24866400000000,29808500000000,29606900000000,25315000000000,25606700000000
24,3.17782E18,3.16695E18,3.92E18,3.94635E18,3.84178E18,3.73639E18,3.74699E18,23907200000000,23972100000000,27879700000000,27950400000000,26422200000000,26438800000000
25,3.2906E18,3.26889E18,3.82398E18,3.81855E18,3.89743E18,3.71433E18,3.73331E18,25862000000000,26093200000000,29990200000000,30098800000000,25944200000000,25547600000000
26,3.21147E18,3.19951E18,3.94291E18,3.95502E18,3.80096E18,3.67413E18,3.73842E18,27286300000000,27331100000000,26361400000000,26229700000000,24522800000000,25181100000000
27,3.18228E18,3.19241E18,3.94136E18,3.94429E18,3.83719E18,3.79429E18,3.74348E18,25674400000000,25542700000000,30591800000000,30597100000000,26673100000000,27030500000000
28,3.1943E18,3.1968E18,4.03096E18,4.03649E18,3.8695E18,3.81412E18,3.75944E18,23958800000000,24235000000000,28895500000000,29237500000000,24776600000000,24727500000000
29,3.22633E18,3.20048E18,3.99944E18,3.98788E18,3.83305E18,3.71797E18,3.73347E18,25833600000000,25799700000000,28303500000000,28348200000000,24905100000000,25229500000000
30,3.14397E18,3.16188E18,3.94635E18,3.93026E18,3.7814E18,3.79158E18,3.75127E18,27255300000000,27175200000000,28856100000000,28775400000000,24615800000000,24126300000000
31,3.19574E18,3.16835E18,4.04127E18,4.05027E18,3.84299E18,3.7E18,3.74769E18,25236000000000,25317200000000,29074900000000,29146500000000,26595500000000,26538100000000
32,3.23197E18,3.22858E18,3.95251E18,3.94909E18,3.82627E18,3.72471E18,3.76868E18,23917000000000,23807300000000,26933400000000,26965800000000,26560700000000,26215300000000
33,3.21285E18,3.21631E18,3.88404E18,3.8804E18,3.8485E18,3.81475E18,3.77909E18,24752000000000,24737900000000,29096900000000,29165500000000,25869900000000,26070000000000
34,3.17322E18,3.16519E18,4.04616E18,4.03909E18,3.83479E18,3.82496E18,3.81444E18,27152900000000,27119800000000,29660000000000,29939500000000,25445700000000,25044500000000
35,3.20224E18,3.18826E18,3.96E18,3.96566E18,3.88964E18,3.70363E18,3.68618E18,25686000000000,25615700000000,28408200000000,28399000000000,27078700000000,27605500000000
36,3.16505E18,3.1504E18,3.93835E18,3.92896E18,3.79659E18,3.65269E18,3.66153E18,24819200000000,24960900000000,28867100000000,28901000000000,27026300000000,26371400000000
37,3.30243E18,3.30697E18,3.90842E18,3.89646E18,3.77965E18,3.67849E18,3.67152E18,24979900000000,24930200000000,28872000000000,28996800000000,24892400000000,24815600000000
38,3.27801E18,3.29796E18,3.97349E18,3.99085E18,3.95472E18,3.81281E18,3.72317E18,25488700000000,25697100000000,28050800000000,28065000000000,26394300000000,26692100000000
39,3.23287E18,3.22827E18,4.16217E18,4.18247E18,3.88493E18,3.54114E18,3.61219E18,27123000000000,26953500000000,28520500000000,28661400000000,26134600000000,26225000000000
40,3.56307E18,3.5774E18,4.29199E18,4.26744E18,3.76503E18,3.52843E18,3.60576E18,24021100000000,23956200000000,28608700000000,28575200000000,24407600000000,24275000000000
41,3.74565E18,3.73297E18,4.09424E18,4.11179E18,3.86301E18,3.52442E18,3.59632E18,24135300000000,24237700000000,29664500000000,29713300000000,23627600000000,23487600000000
42,3.44478E18,3.46232E18,4.19846E18,4.17958E18,3.8322E18,3.53123E18,3.55459E18,23977300000000,24056800000000,29906300000000,29639300000000,25306100000000,25162100000000
43,3.67616E18,3.6596E18,4.13302E18,4.13198E18,3.84159E18,3.4767E18,3.54447E18,24273400000000,24297200000000,27805200000000,27989600000000,23140100000000,23252500000000
44,3.42037E18,3.43102E18,4.22E18,4.23643E18,3.69416E18,3.49224E18,3.51336E18,23300000000000,23264500000000,28990400000000,28952100000000,24594600000000,24693800000000
45,3.69306E18,3.69364E18,4.28775E18,4.29255E18,3.86086E18,3.5072E18,3.52159E18,24096900000000,24137200000000,28263000000000,28328700000000,22191700000000,21759900000000
46,3.59417E18,3.61123E18,4.19844E18,4.19123E18,3.88354E18,3.47E18,3.50331E18,24258400000000,24137700000000,28918200000000,28808300000000,25431200000000,24829000000000
47,3.64156E18,3.65118E18,4.17281E18,4.16654E18,3.7779E18,3.45294E18,3.48286E18,23453400000000,23440600000000,28421300000000,28256300000000,23352200000000,23280100000000
48,3.62758E18,3.63539E18,4.33108E18,4.30307E18,3.94764E18,3.56243E18,3.53188E18,23875900000000,23712600000000,29783700000000,29793400000000,23362700000000,23809500000000
49,3.57795E18,3.54334E18,4.02759E18,4.0317E18,3.84239E18,3.5065E18,3.56356E18,25344500000000,25208000000000,28628800000000,28499200000000,23452100000000,23004000000000
50,3.58888E18,3.59458E18,4.18986E18,4.17988E18,3.81926E18,3.45222E18,3.48096E18,23197300000000,23160900000000,28173100000000,28389600000000,24019300000000,23554400000000
51,3.51715E18,3.50013E18,4.08191E18,4.0805E18,3.82311E18,3.51404E18,3.47253E18,23884500000000,23757200000000,28419700000000,28372800000000,22286200000000,22026300000000
52,3.6778E18,3.65847E18,3.98239E18,3.99352E18,3.74462E18,3.55838E18,3.54332E18,24674700000000,24551600000000,30184100000000,30254700000000,25129800000000,25079600000000
53,3.60048E18,3.64375E18,4.11914E18,4.1412E18,3.82853E18,3.47E18,3.52083E18,23114600000000,23368000000000,27194500000000,27364500000000,23726000000000,23704400000000
54,3.54112E18,3.53119E18,4.21E18,4.19841E18,3.79029E18,3.48058E18,3.52146E18,24820200000000,24827600000000,29433000000000,29245800000000,22590600000000,23116100000000
55,3.61169E18,3.6127E18,4.08627E18,4.11677E18,3.72883E18,3.51676E18,3.47175E18,23302600000000,23415700000000,29969300000000,29736700000000,22242900000000,22540800000000
56,3.65736E18,3.64069E18,4.124E18,4.12396E18,3.85976E18,3.50235E18,3.49356E18,23772300000000,24123800000000,28988900000000,28977900000000,25485300000000,25253800000000
57,3.5089E18,3.50232E18,4.27488E18,4.26591E18,3.81457E18,3.52554E18,3.50534E18,23029800000000,23057100000000,30202100000000,30115800000000,25230700000000,24924900000000
58,3.52431E18,3.54798E18,4.14298E18,4.16995E18,3.72647E18,3.48548E18,3.47441E18,25141500000000,25321600000000,29113600000000,29255200000000,24208300000000,24389400000000
59,3.40671E18,3.42102E18,4.1783E18,4.18631E18,3.82963E18,3.54526E18,3.48146E18,23903400000000,23570900000000,27362400000000,27348600000000,20747000000000,20707600000000
60,3.64765E18,3.64573E18,4.24657E18,4.27229E18,3.84254E18,3.55141E18,3.52471E18,22864800000000,22926200000000,28289400000000,28175900000000,23043200000000,22389400000000
61,3.49813E18,3.47402E18,4.27249E18,4.26947E18,3.85818E18,3.51147E18,3.57365E18,25721800000000,25531300000000,29700000000000,29611200000000,25031100000000,25001400000000
62,3.5918E18,3.61462E18,4.19E18,4.19417E18,3.78268E18,3.47225E18,3.49446E18,23731200000000,23772300000000,28531000000000,28533500000000,23413800000000,23708600000000
63,3.50039E18,3.48522E18,4.20029E18,4.1903E18,3.84541E18,3.54903E18,3.51032E18,24129900000000,23882300000000,27389200000000,27506800000000,24206400000000,24678900000000
64,3.7967E18,3.76451E18,4.19599E18,4.17277E18,3.91878E18,3.535E18,3.52104E18,21750300000000,21745100000000,29508000000000,29508600000000,22336800000000,22264700000000
65,3.54125E18,3.55E18,4.23797E18,4.2082E18,3.7707E18,3.53791E18,3.48279E18,24623800000000,24724600000000,27858500000000,27715100000000,24176000000000,24480600000000
66,3.63745E18,3.66254E18,4.06751E18,4.07585E18,3.80247E18,3.50593E18,3.4957E18,23909200000000,23880800000000,28366200000000,28491600000000,24894400000000,24760600000000
67,3.58E18,3.58917E18,4.20836E18,4.23101E18,3.72465E18,3.58173E18,3.5181E18,24519500000000,24633700000000,29718500000000,29732700000000,23543800000000,23565000000000
68,3.72587E18,3.72477E18,4.30942E18,4.29961E18,3.79206E18,3.54787E18,3.48377E18,23468300000000,23429700000000,27315700000000,27356800000000,24638300000000,24557800000000
69,3.55051E18,3.54453E18,4.15235E18,4.13111E18,3.84971E18,3.40184E18,3.45711E18,24387700000000,24596200000000,29003700000000,28902500000000,21605800000000,21918200000000
70,3.54147E18,3.57151E18,4.08259E18,4.08964E18,3.79936E18,3.47694E18,3.4762E18,23842300000000,23759500000000,28002800000000,27997400000000,22454000000000,22663100000000
71,3.50027E18,3.48666E18,4.21981E18,4.20042E18,3.82077E18,3.55142E18,3.47765E18,24671700000000,24677400000000,29466400000000,29287800000000,24488200000000,24259700000000
72,3.68421E18,3.6799E18,4.1737E18,4.154E18,3.94719E18,3.5328E18,3.4721E18,23428500000000,23126300000000,27390900000000,27336100000000,24539500000000,24609000000000
73,3.48308E18,3.46708E18,4.17904E18,4.1834E18,3.80761E18,3.36294E18,3.47626E18,24341700000000,24440600000000,25886200000000,25887400000000,23384300000000,23792900000000
74,3.60337E18,3.58865E18,4.01376E18,3.98817E18,3.81308E18,3.50666E18,3.53498E18,24403500000000,24391600000000,27302300000000,27279800000000,22133900000000,22689500000000
75,3.49E18,3.49463E18,4.12863E18,4.12837E18,3.91589E18,3.56127E18,3.56642E18,23371100000000,23462000000000,27581300000000,27491700000000,22153200000000,22275300000000
76,3.69169E18,3.6847E18,4.21291E18,4.23196E18,3.83183E18,3.52085E18,3.52329E18,22243100000000,22200900000000,28848000000000,28792000000000,23374700000000,23392900000000
77,3.46868E18,3.4941E18,4.28701E18,4.31075E18,3.91067E18,3.42E18,3.51793E18,23692600000000,23502100000000,28680300000000,28357700000000,24654600000000,24343000000000
78,3.48186E18,3.48713E18,3.99E18,4.01416E18,3.73872E18,3.48794E18,3.52974E18,23739900000000,23859600000000,28411700000000,28530300000000,23022500000000,22902500000000
79,3.49E18,3.49635E18,4.28512E18,4.25732E18,3.80102E18,3.52809E18,3.5288E18,23442700000000,23458500000000,27451800000000,27468300000000,22276100000000,22057000000000
80,3.59969E18,3.59932E18,4.11794E18,4.09969E18,3.84918E18,3.55116E18,3.50286E18,22806400000000,22919500000000,29278000000000,29085500000000,23514800000000,23688100000000
81,3.46084E18,3.41909E18,4.00299E18,3.99099E18,3.84394E18,3.44148E18,3.48838E18,24323200000000,24346800000000,27545700000000,27797200000000,25561800000000,25449100000000
82,3.52979E18,3.54449E18,4.15443E18,4.13441E18,3.80505E18,3.44845E18,3.48433E18,23890000000000,23870300000000,25747200000000,25782200000000,25016400000000,25031400000000
83,3.54052E18,3.56119E18,4.1104E18,4.10944E18,3.90901E18,3.53987E18,3.5E18,24296200000000,24397800000000,28268600000000,28395400000000,21748100000000,21754900000000
84,3.56898E18,3.57145E18,4.13071E18,4.11667E18,3.75543E18,3.48266E18,3.53143E18,23688600000000,23743400000000,29097800000000,29236000000000,21816300000000,21807500000000
85,3.43526E18,3.46155E18,4.01E18,3.99583E18,3.75522E18,3.50593E18,3.46738E18,23491600000000,23239200000000,27984000000000,28053800000000,24530700000000,24223600000000
86,3.58013E18,3.56895E18,4.00364E18,4.02193E18,3.83854E18,3.42851E18,3.4747E18,24712700000000,24787500000000,29004800000000,28938300000000,24418900000000,24279600000000
87,3.66057E18,3.66473E18,4.29074E18,4.28531E18,3.80538E18,3.46933E18,3.50567E18,23149200000000,23177000000000,28126700000000,28256400000000,23872400000000,24314100000000
88,3.49322E18,3.50549E18,4.16893E18,4.17044E18,3.84732E18,3.54383E18,3.56846E18,23853800000000,23847100000000,29152900000000,29100600000000,23249500000000,23811900000000
89,3.61757E18,3.59278E18,3.96261E18,3.98109E18,3.85988E18,3.52126E18,3.51902E18,22579700000000,22367500000000,27855800000000,27849100000000,22545500000000,22291800000000
90,3.58194E18,3.59114E18,3.91917E18,3.94357E18,3.81829E18,3.41928E18,3.48325E18,23931100000000,24098600000000,27886000000000,28034500000000,23832200000000,23843800000000
91,3.6028E18,3.58651E18,4.18684E18,4.16472E18,3.87636E18,3.50879E18,3.52684E18,24001800000000,24000400000000,26666700000000,26558300000000,23963600000000,23478200000000
92,3.47448E18,3.48974E18,4.1241E18,4.11705E18,3.67842E18,3.48086E18,3.5289E18,22556300000000,22429400000000,27507800000000,27200900000000,26141900000000,25782400000000
93,3.62732E18,3.60548E18,3.98447E18,3.99871E18,3.67784E18,3.52612E18,3.48601E18,24496300000000,24518000000000,27660200000000,27545100000000,25261600000000,25322800000000
94,3.45876E18,3.4683E18,4.17394E18,4.16373E18,3.75206E18,3.47121E18,3.49746E18,23972200000000,23917200000000,27329100000000,27125300000000,22319700000000,22892300000000
95,3.5908E18,3.60625E18,4.13101E18,4.1321E18,3.73875E18,3.48229E18,3.48239E18,23486200000000,23642700000000,26051800000000,25827800000000,22630500000000,22850900000000
96,3.40753E18,3.4223E18,4.02325E18,4.01333E18,3.82614E18,3.42971E18,3.47111E18,23452400000000,23427700000000,28323000000000,28120100000000,23874900000000,23893600000000
97,3.67851E18,3.6963E18,4.03579E18,4.06246E18,3.63892E18,3.48374E18,3.4704E18,24587800000000,24517500000000,27943400000000,28141300000000,27952000000000,27596700000000
98,3.428E18,3.43263E18,4.2112E18,4.24448E18,3.82478E18,3.43448E18,3.40537E18,23575800000000,23587300000000,26381100000000,26529500000000,24138900000000,24522700000000
99,3.50037E18,3.48938E18,4.1546E18,4.17144E18,3.9577E18,3.42065E18,3.4028E18,23205300000000,23408900000000,27424800000000,27616300000000,22776700000000,22981100000000
100,3.48788E18,3.47794E18,4.06E18,4.06212E18,3.7897E18,3.41007E18,3.44548E18,23342500000000,23483600000000,28190800000000,28235600000000,23451800000000,23578100000000
101,3.51615E18,3.49107E18,4.02219E18,4.01388E18,3.72271E18,3.52103E18,3.42655E18,23475500000000,23616300000000,28645000000000,28717200000000,26179700000000,25576100000000
102,3.41843E18,3.41014E18,4.04622E18,4.05008E18,3.72011E18,3.40561E18,3.42657E18,24737100000000,24557300000000,27411900000000,27493500000000,25831200000000,26078500000000
103,3.62189E18,3.6259E18,4.07648E18,4.07571E18,3.72371E18,3.42239E18,3.39162E18,23806600000000,23780800000000,27663400000000,27573900000000,24270300000000,23937400000000
104,3.50673E18,3.4895E18,4.14132E18,4.1387E18,3.73714E18,3.44549E18,3.44175E18,23876600000000,23998300000000,27117200000000,27234100000000,22417900000000,22317100000000
105,3.45894E18,3.44338E18,3.9E18,3.89452E18,3.84571E18,3.48461E18,3.42513E18,23722800000000,23868200000000,28919700000000,28918400000000,24125800000000,24081400000000
106,3.29498E18,3.28608E18,3.81769E18,3.79E18,3.65233E18,3.39461E18,3.39887E18,25875800000000,25864700000000,27320800000000,27290000000000,25645400000000,25815500000000
107,3.35298E18,3.36801E18,4.08342E18,4.0807E18,3.79E18,3.42389E18,3.41139E18,25985700000000,25931100000000,27947900000000,27983100000000,26249300000000,26046100000000
108,3.47064E18,3.4839E18,3.99728E18,4.02512E18,3.73412E18,3.37583E18,3.32905E18,23676300000000,23751000000000,27525500000000,27544600000000,22657600000000,22591700000000
109,3.46364E18,3.5E18,3.88515E18,3.90256E18,3.78666E18,3.35573E18,3.33402E18,26825500000000,26752300000000,28779400000000,28858500000000,24319500000000,24502200000000
110,3.4401E18,3.40841E18,3.90937E18,3.91617E18,3.73339E18,3.37293E18,3.33883E18,25050800000000,24961200000000,27456600000000,27471800000000,23648600000000,23483600000000
111,3.37026E18,3.32782E18,4.0617E18,4.04317E18,3.77439E18,3.45718E18,3.36099E18,26600000000000,26398100000000,30415900000000,30634700000000,26516300000000,26083100000000
112,3.54338E18,3.53392E18,3.98609E18,3.98987E18,3.82248E18,3.38796E18,3.41423E18,24353300000000,24141000000000,27784900000000,27904300000000,25637000000000,25081800000000
113,3.52E18,3.5022E18,3.83241E18,3.81281E18,3.64537E18,3.38582E18,3.34389E18,24563400000000,24452500000000,28449100000000,28263600000000,24868700000000,25444100000000
114,3.40515E18,3.40904E18,4.0721E18,4.05858E18,3.69735E18,3.35253E18,3.38755E18,26153800000000,26131000000000,27816500000000,27758400000000,23670400000000,23559300000000
115,3.43493E18,3.43319E18,4.04633E18,4.06013E18,3.80365E18,3.39086E18,3.36089E18,25879400000000,25829600000000,27281300000000,27309600000000,24967100000000,24923400000000
116,3.49067E18,3.49873E18,4.0107E18,4.0254E18,3.68293E18,3.36931E18,3.3791E18,26793400000000,26793300000000,27500800000000,27671800000000,25804400000000,25823700000000
117,3.42441E18,3.4448E18,3.92043E18,3.91391E18,3.78651E18,3.27682E18,3.3272E18,25948400000000,26013500000000,29315500000000,29203800000000,26438000000000,26463200000000
118,3.34835E18,3.33682E18,3.91684E18,3.91252E18,3.72971E18,3.3443E18,3.37169E18,25744300000000,25758200000000,28644100000000,28674700000000,23433900000000,23479700000000
119,3.41236E18,3.41138E18,4.0613E18,4.05613E18,3.76062E18,3.39939E18,3.32884E18,26054800000000,26210100000000,27513200000000,27618500000000,23694600000000,23846100000000
120,3.46601E18,3.44011E18,3.99014E18,3.99822E18,3.73513E18,3.29759E18,3.30527E18,25172000000000,25175500000000,30215300000000,30200700000000,25162900000000,24976800000000
121,3.6E18,3.59251E18,3.86622E18,3.86329E18,3.70415E18,3.32733E18,3.35688E18,25352100000000,25505000000000,26062000000000,26121600000000,26842800000000,26743500000000
122,3.32094E18,3.33694E18,4.05588E18,4.05589E18,3.7048E18,3.29524E18,3.31112E18,25786400000000,25693600000000,28381800000000,28319500000000,27589900000000,26972600000000
123,3.30449E18,3.33207E18,3.95265E18,3.93985E18,3.68988E18,3.33815E18,3.38E18,26725900000000,26730200000000,28018400000000,27973700000000,23235700000000,22773300000000
124,3.4904E18,3.49176E18,4.08122E18,4.07655E18,3.70913E18,3.29451E18,3.32599E18,25260000000000,25297000000000,28154400000000,28100900000000,26256600000000,26345200000000
125,,,,,,,,,,,,,
126,,,,,,,,,,,,,
127,,,,,,,,,,,,,
128,,,,,,,,,,,,,
129,,,,,,,,,,,,,
130,,,,,,,,,,,,,
131,,,,,,,,,,,,,
132,,,,,,,,,,,,,
133,,,,,,,,,,,,,
134,,,,,,,,,,,,,
135,,,,,,,,,,,,,
136,,,,,,,,,,,,,
137,,,,,,,,,,,,,
138,,,,,,,,,,,,,
139,,,,,,,,,,,,,
140,,,,,,,,,,,,,
141,,,,,,,,,,,,,
142,,,,,,,,,,,,,
143,,,,,,,,,,,,,
144,,,,,,,,,,,,,
145,,,,,,,,,,,,,
146,,,,,,,,,,,,,
147,,,,,,,,,,,,,
148,,,,,,,,,,,,,
149,,,,,,,,,,,,,
